,index,year,crime_type,value,variable
0,115,2006,Violent crime,637.917864308896,rate
1,80,2007,Violent crime,613.7688201108588,rate
2,126,2008,Violent crime,580.3422977025373,rate
3,5,2009,Violent crime,551.809465335112,rate
4,88,2010,Violent crime,581.6817222452681,rate
5,58,2011,Violent crime,623.5969251845652,rate
6,25,2012,Violent crime,639.2851606536769,rate
7,162,2013,Violent crime,623.9067874874675,rate
8,82,2014,Violent crime,596.7001410678248,rate
9,192,2015,Violent crime,585.7655737825701,rate
10,222,2016,Violent crime,573.4151503977453,rate
