Year,Median Income,City
2010,32841,New York City
2011,33743,New York City
2012,34203,New York City
2013,34578,New York City
2014,34973,New York City
2015,35330,New York City
2016,35990,New York City
2010,26239,Los Angeles
2011,26530,Los Angeles
2012,26446,Los Angeles
2013,26151,Los Angeles
2014,26295,Los Angeles
2015,26505,Los Angeles
2016,27101,Los Angeles
2010,30440,Chicago
2011,30948,Chicago
2012,31052,Chicago
2013,31228,Chicago
2014,31610,Chicago
2015,31703,Chicago
2016,32418,Chicago
2010,27419,Tampa
2011,28860,Tampa
2012,29069,Tampa
2013,29739,Tampa
2014,30551,Tampa
2015,30717,Tampa
2016,30936,Tampa
2010,41171,Washington D.C.
2011,43137,Washington D.C.
2012,44423,Washington D.C.
2013,45231,Washington D.C.
2014,46529,Washington D.C.
2015,47384,Washington D.C.
2016,48059,Washington D.C.
2010,28815,U.S. Average
2011,28366,U.S. Average
2012,28213,U.S. Average
2013,28518,U.S. Average
2014,29154,U.S. Average
2015,30622,U.S. Average
2016,31099,U.S. Average
